时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2018/5/18,4685.89930 ,61448109811242.00000 ,44367783677943.00000 ,0.01830 
2018/5/17,4653.77110 ,60862476649451.20000 ,43904920183027.00000 ,0.01850 
2018/5/16,4681.09470 ,61175646154805.50000 ,44132633073336.00000 ,0.01840 
2018/5/15,4707.89080 ,61581698294623.40000 ,44414033219770.00000 ,0.01830 
2018/5/14,4675.59030 ,61201781400325.70000 ,44144317831847.00000 ,0.01840 
2018/5/11,4666.49650 ,61094181963786.70000 ,44019945739979.00000 ,0.01840 
2018/5/10,4701.32820 ,61412705528390.90000 ,44250715213959.00000 ,0.01830 
2018/5/9,4679.33730 ,61124884671874.40000 ,44024833045181.00000 ,0.01840 
2018/5/8,4685.09420 ,61168669652924.40000 ,44060916211088.00000 ,0.01840 
2018/5/7,4647.06060 ,60652443089305.00000 ,43711917203492.00000 ,0.01850 
2018/5/4,4571.39680 ,59713635109998.70000 ,43015439785240.00000 ,0.01880 
2018/5/3,4584.59820 ,59888790208708.40000 ,43126840520079.00000 ,0.01880 
2018/5/2,4546.11920 ,59451550680551.80000 ,42797950480832.00000 ,0.01890 
2018/4/27,4548.42160 ,59501048548837.60000 ,42788667011167.00000 ,0.01880 
2018/4/26,4543.78240 ,59342575037445.70000 ,42676808053420.00000 ,0.01870 
2018/4/25,4630.34310 ,60329397891019.70000 ,43372595536563.00000 ,0.01830 
2018/4/24,4632.39870 ,60438359626402.50000 ,43464450788233.00000 ,0.01830 
2018/4/23,4537.20030 ,59209961117896.80000 ,42575311725130.00000 ,0.01860 
2018/4/20,4556.71090 ,59388996933613.20000 ,42641042322592.00000 ,0.01850 
2018/4/19,4634.65930 ,60369038231572.90000 ,43307307605444.00000 ,0.01810 
2018/4/18,4598.06020 ,59912303383534.60000 ,42932644785097.00000 ,0.01820 
2018/4/17,4558.22260 ,59372991284101.70000 ,42564317425489.00000 ,0.01840 
2018/4/16,4643.91930 ,60369695778635.20000 ,43272074373376.00000 ,0.01810 
2018/4/13,4688.62270 ,61159062934464.00000 ,43795068785610.00000 ,0.01780 
2018/4/12,4711.48050 ,61477955067420.50000 ,44017298058350.00000 ,0.01770 
2018/4/11,4747.46840 ,62024343332305.90000 ,44391873271475.00000 ,0.01750 
2018/4/10,4728.02970 ,61655769156902.80000 ,44168051804950.00000 ,0.01760 
2018/4/9,4677.96820 ,60788766257056.40000 ,43574583759777.00000 ,0.01770 
2018/4/4,4676.61320 ,60708512856929.00000 ,43508535784420.00000 ,0.01770 
2018/4/3,4695.68490 ,60941234092416.40000 ,43626408341656.00000 ,0.01760 
2018/4/2,4732.82940 ,61428135691456.90000 ,43976509497105.00000 ,0.01740 
2018/3/30,4731.03010 ,61535800891357.80000 ,43983873351213.00000 ,0.01730 
2018/3/29,4693.30210 ,61150747935297.90000 ,43756850974085.00000 ,0.01710 
2018/3/28,4643.24800 ,60419838857110.70000 ,43228103146697.00000 ,0.01720 
2018/3/27,4703.10060 ,61163149023644.50000 ,43784021800193.00000 ,0.01670 
2018/3/26,4627.55830 ,60334918480120.60000 ,43208799851747.00000 ,0.01680 
2018/3/23,4604.89800 ,60402420983701.70000 ,43233547258780.00000 ,0.01610 
2018/3/22,4796.09520 ,62715605836662.50000 ,44788065587246.00000 ,0.01530 
2018/3/21,4825.00290 ,63046341121209.40000 ,45040184078117.00000 ,0.01520 
2018/3/20,4851.73200 ,63327916655287.60000 ,45227268530948.00000 ,0.01490 
2018/3/19,4843.58700 ,63111404772783.10000 ,45070699748940.00000 ,0.01490 
2018/3/16,4828.50210 ,62891629413120.10000 ,44923478706088.00000 ,0.01500 
2018/3/15,4860.06800 ,63323187721991.70000 ,45239261245759.00000 ,0.01480 
2018/3/14,4854.00150 ,63339347818120.80000 ,45178670482408.00000 ,0.01480 
2018/3/13,4889.92460 ,63796349221036.00000 ,45454250837283.00000 ,0.01470 
2018/3/12,4923.42980 ,64155068722596.70000 ,45710811282385.00000 ,0.01460 
2018/3/9,4876.45990 ,63673845585194.90000 ,45333082924812.00000 ,0.01470 
2018/3/8,4822.68290 ,63097076710611.30000 ,44947439037641.00000 ,0.01490 
2018/3/7,4781.96260 ,62696612662214.80000 ,44660903275132.00000 ,0.01500 
2018/3/6,4816.91800 ,63024053760210.30000 ,44932362965480.00000 ,0.01490 
2018/3/5,4761.89480 ,62376684304382.50000 ,44450475051685.00000 ,0.01500 
2018/3/2,4751.94180 ,62264344552818.80000 ,44404031230870.00000 ,0.01510 
2018/3/1,4782.65340 ,62662080055114.10000 ,44683289010060.00000 ,0.01500 
2018/2/28,4739.07410 ,62232173126834.10000 ,44357066696938.00000 ,0.01510 
2018/2/27,4752.89440 ,62210294115001.70000 ,44593342637918.00000 ,0.01510 
2018/2/26,4787.19520 ,62832314870837.70000 ,45048672682457.00000 ,0.01490 
2018/2/23,4709.72660 ,61905432835602.80000 ,44368076928995.00000 ,0.01510 
2018/2/22,4692.03280 ,61613772584221.40000 ,44161356091489.00000 ,0.01520 
2018/2/14,4600.60750 ,60329780200490.70000 ,43185983284555.00000 ,0.01550 
2018/2/13,4574.79100 ,60037464259423.30000 ,42895474290742.00000 ,0.01560 
2018/2/12,4540.00600 ,59502908732108.30000 ,42516928171331.00000 ,0.01570 
2018/2/9,4457.45590 ,58730201685995.50000 ,41955206123454.00000 ,0.01590 
2018/2/8,4629.53970 ,60998185944934.50000 ,43611388534150.00000 ,0.01530 
2018/2/7,4627.09530 ,61463158463540.30000 ,43918612481527.00000 ,0.01510 
2018/2/6,4680.82870 ,62497039385486.20000 ,44654872513992.00000 ,0.01490 
2018/2/5,4868.81270 ,64869320940541.70000 ,46307069877536.00000 ,0.01430 
2018/2/2,4874.80970 ,64643561185385.50000 ,46150703176562.00000 ,0.01440 
2018/2/1,4864.45700 ,64438484284372.40000 ,45966994599649.00000 ,0.01440 
2018/1/31,4974.34530 ,65424076365039.60000 ,46671982219421.00000 ,0.01420 
2018/1/30,5017.20490 ,65823123082764.50000 ,46907016431938.00000 ,0.01410 
2018/1/29,5048.66750 ,66391128482395.20000 ,47321090897654.00000 ,0.01400 
2018/1/26,5126.61160 ,67197241261458.00000 ,47846659232315.00000 ,0.01380 
2018/1/25,5120.39400 ,67066916229664.20000 ,47733222261572.00000 ,0.01390 
2018/1/24,5139.49020 ,67331953018759.00000 ,47896900533177.00000 ,0.01380 
2018/1/23,5121.18960 ,67105405816975.60000 ,47718393024497.00000 ,0.01390 
2018/1/22,5091.00190 ,66279648357372.50000 ,47216586143710.00000 ,0.01400 
2018/1/19,5036.99050 ,65854341130049.80000 ,46793237297379.00000 ,0.01410 
2018/1/18,5035.33570 ,65705595224704.60000 ,46676278672749.00000 ,0.01420 
2018/1/17,5016.00300 ,65161509197033.50000 ,46348185833404.00000 ,0.01430 
2018/1/16,5030.06060 ,65096993678758.80000 ,46380075184916.00000 ,0.01430 
2018/1/15,4996.06380 ,64588812344020.40000 ,46074187402772.00000 ,0.01440 
2018/1/12,5057.90850 ,65108809067853.40000 ,46433165020766.00000 ,0.01430 
2018/1/11,5039.36880 ,65089792778656.70000 ,46381525757229.00000 ,0.01430 
2018/1/10,5049.19900 ,64927069134283.10000 ,46306595652784.00000 ,0.01430 
2018/1/9,5054.53200 ,64854012409709.60000 ,46230002369653.00000 ,0.01430 
2018/1/8,5038.76260 ,64732280388500.40000 ,46121340701612.00000 ,0.01440 
2018/1/5,5020.48970 ,64500769546210.30000 ,45890555329861.00000 ,0.01440 
2018/1/4,5013.84820 ,64404754058858.80000 ,45805883916278.00000 ,0.01440 
2018/1/3,4995.41310 ,64172848808216.90000 ,45555038110408.00000 ,0.01450 
