时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2013/5/28,2644.36,,18904440915911.90000 ,13003396439822.00000 ,0.03080 
2013/5/27,2599.59,,18632351881387.50000 ,12770982046602.00000 ,0.03130 
2013/5/24,2597.23,,18634387515917.30000 ,12771925126315.00000 ,0.03130 
2013/5/23,2582.85,,18569313482769.90000 ,12720227022483.00000 ,0.03140 
2013/5/22,2618.03,,18805482007878.10000 ,12872042443754.00000 ,0.03100 
2013/5/21,2614.85,,18808913793793.20000 ,12876394306029.00000 ,0.03100 
2013/5/20,2609.61,,18789675756194.50000 ,12863565659442.00000 ,0.03100 
2013/5/17,2592.05,,18676530446975.70000 ,12777734958952.00000 ,0.03120 
2013/5/16,2552.71,,18382662961884.40000 ,12585072759121.00000 ,0.03170 
2013/5/15,2506.93,,18137347060327.70000 ,12406969393856.00000 ,0.03220 
2013/5/14,2493.34,,18082541759898.60000 ,12368487239326.00000 ,0.03230 
2013/5/13,2530.77,,18316383503624.90000 ,12533693838499.00000 ,0.03180 
2013/5/10,2540.84,,18394376996514.20000 ,12584121642342.00000 ,0.03170 
2013/5/9,2527.79,,18314585357221.00000 ,12526796880151.00000 ,0.03180 
2013/5/8,2542.8,,18421320778843.60000 ,12604725482512.00000 ,0.03170 
2013/5/7,2529.94,,18315193775436.80000 ,12549389047178.00000 ,0.03180 
2013/5/6,2525.98,,18298027095311.70000 ,12533942819350.00000 ,0.03190 
2013/5/3,2492.91,,18102523095178.60000 ,12377597305117.00000 ,0.03220 
2013/5/2,2449.64,,17846542978079.00000 ,12204342624111.00000 ,0.03270 
2013/4/26,2447.31,,17854332708982.70000 ,12211283283071.00000 ,0.03250 
2013/4/25,2467.88,,18002087370416.60000 ,12307833318765.00000 ,0.03200 
2013/4/24,2495.58,,18133461942193.50000 ,12404181708287.00000 ,0.03180 
